Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16694724k(7917684k free), swap 37666244k(16739252k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-28T20:37:41.449+0800: 0.388: [Full GC (Ergonomics) [PSYoungGen: 29687K->21698K(58368K)] [ParOldGen: 174929K->174781K(175104K)] 204616K->196479K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0171722 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.467+0800: 0.406: [Full GC (Ergonomics) [PSYoungGen: 29601K->24559K(58368K)] [ParOldGen: 174781K->174528K(175104K)] 204382K->199088K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0192157 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.487+0800: 0.426: [Full GC (Ergonomics) [PSYoungGen: 29612K->25876K(58368K)] [ParOldGen: 174528K->174769K(175104K)] 204140K->200645K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0196213 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.507+0800: 0.446: [Full GC (Ergonomics) [PSYoungGen: 29630K->27185K(58368K)] [ParOldGen: 174769K->174629K(175104K)] 204399K->201814K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0173909 secs] [Times: user=0.09 sys=0.02, real=0.02 secs] 
2020-10-28T20:37:41.525+0800: 0.464: [Full GC (Ergonomics) [PSYoungGen: 29629K->28257K(58368K)] [ParOldGen: 174629K->174738K(175104K)] 204258K->202995K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0216784 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.547+0800: 0.486: [Full GC (Ergonomics) [PSYoungGen: 29636K->26827K(58368K)] [ParOldGen: 174738K->175030K(175104K)] 204375K->201857K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0124369 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-10-28T20:37:41.560+0800: 0.498: [Full GC (Ergonomics) [PSYoungGen: 29594K->27268K(58368K)] [ParOldGen: 175030K->174858K(175104K)] 204624K->202127K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0135542 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T20:37:41.574+0800: 0.512: [Full GC (Ergonomics) [PSYoungGen: 29174K->27137K(58368K)] [ParOldGen: 174858K->174850K(175104K)] 204033K->201987K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0165738 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.591+0800: 0.529: [Full GC (Ergonomics) [PSYoungGen: 29565K->28146K(58368K)] [ParOldGen: 174850K->174627K(175104K)] 204415K->202773K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0174939 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2020-10-28T20:37:41.609+0800: 0.547: [Full GC (Ergonomics) [PSYoungGen: 29528K->29122K(58368K)] [ParOldGen: 174627K->174572K(175104K)] 204156K->203695K(233472K), [Metaspace: 2765K->2765K(1056768K)], 0.0066408 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
